Expt Accession	TF-Target	Target	Tissue	Cell line	Cell type	Generic peak name	New Peak Name
GSE122631	SOX2	Cell signaling Technology 5024S	-	-	-	GSE122631_Cell_signaling_Technology_5024S	GSE122631_SOX2
GSE122631	SOX3	Novus biology AF2569	-	-	-	GSE122631_Novus_biology_AF2569	GSE122631_SOX3
GSE122752	RBP-Jk	anti-RBP-Jk	-	-	-	GSE122752_anti-RBP-Jk	GSE122752_RBP-jk
GSE122752	RTA	anti-Rta	-	-	-	GSE122752_anti-Rta	GSE122752_RTA
GSE122847	GATA3	aGATA3	-	MCF7	Breast cancer cell line	GSE122847_aGATA3	GSE122847_GATA3
GSE123089	ZBTB7A	Human/Mouse ZBTB7A/Pokemon Antibody	-	prostate cancer cell line VCAP	-	GSE123089_HumanMouse_ZBTB7APokemon_Antibody	GSE123089_ZBTB7A
GSE123091	ZBTB7A	Human/Mouse ZBTB7A/Pokemon Antibody	-	prostate cancer cell line VCAP	-	GSE123091_HumanMouse_ZBTB7APokemon_Antibody	GSE123091_ZBTB7A
GSE123097	BRD4	BRD4	-	HepG2	-	GSE123097_BRD4	GSE123097_BRD4
GSE123097	CEBPb	C/EBPB	-	HepG2	-	GSE123097_CEBPB	GSE123097_CEBPb
GSE123196	EZH2	EZH2	-	-	-	GSE123196_EZH2	GSE123196_EZH2
GSE123197	EZH2	EZH2	-	-	-	GSE123197_EZH2	GSE123197_EZH2
GSE123199	EZH2	EZH2	-	-	-	GSE123199_EZH2	GSE123199_EZH2
GSE123200	CTCF	CTCF	-	-	-	GSE123200_CTCF	GSE123200_CTCF
GSE123201	SUZ12	SUZ12	-	-	-	GSE123201_SUZ12	GSE123201_SUZ12
GSE123202	CTCF	CTCF	-	-	-	GSE123202_CTCF	GSE123202_CTCF
GSE123204	EZH2	EZH2	-	-	-	GSE123204_EZH2	GSE123204_EZH2
GSE123205	CTCF	CTCF	-	-	-	GSE123205_CTCF	GSE123205_CTCF
GSE123210	CTCF	CTCF	-	-	-	GSE123210_CTCF	GSE123210_CTCF
GSE123212	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE123212_EZH2phosphoT487	GSE123212_EZH2phosphoT487
GSE123213	CTCF	CTCF	-	-	-	GSE123213_CTCF	GSE123213_CTCF
GSE123214	CTCF	CTCF	-	-	-	GSE123214_CTCF	GSE123214_CTCF
GSE123215	ASH2L	ASH2L	-	-	-	GSE123215_ASH2L	GSE123215_ASH2L
GSE123217	CTCF	CTCF	-	-	-	GSE123217_CTCF	GSE123217_CTCF
GSE123219	CTCF	CTCF	-	-	-	GSE123219_CTCF	GSE123219_CTCF
GSE123220	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE123220_EZH2phosphoT487	GSE123220_EZH2phosphoT487
GSE123221	CTCF	CTCF	-	-	-	GSE123221_CTCF	GSE123221_CTCF
GSE123222	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE123222_EZH2phosphoT487	GSE123222_EZH2phosphoT487
GSE123223	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE123223_EZH2phosphoT487	GSE123223_EZH2phosphoT487
GSE123224	CTCF	CTCF	-	-	-	GSE123224_CTCF	GSE123224_CTCF
GSE123225	CTCF	CTCF	-	-	-	GSE123225_CTCF	GSE123225_CTCF
GSE123227	CBX8	CBX8	-	-	-	GSE123227_CBX8	GSE123227_CBX8
GSE123228	EZH2	EZH2	-	-	-	GSE123228_EZH2	GSE123228_EZH2
GSE123229	CBX5	CBX5	-	-	-	GSE123229_CBX5	GSE123229_CBX5
GSE123230	ASH2L	ASH2L	-	-	-	GSE123230_ASH2L	GSE123230_ASH2L
GSE123231	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE123231_EZH2phosphoT487	GSE123231_EZH2phosphoT487
GSE123232	HDAC6	HDAC6	-	-	-	GSE123232_HDAC6	GSE123232_HDAC6
GSE123234	CTCF	CTCF	-	-	-	GSE123234_CTCF	GSE123234_CTCF
GSE123246	SRC-2_NCOA2	SRC-2/NCOA2	-	-	endometrial stromal cells	GSE123246_SRC-2NCOA2	GSE123246_SRC-2_NCOA2
GSE123286	ARID2	Bethyl A302-229A	-	ZR-75-1	ER+  Breast Cancer Cell Line	GSE123286_Bethyl_A302-229A	GSE123286_ARID2
GSE123286	BRG1	ab215998	-	ZR-75-1	ER+  Breast Cancer Cell Line	GSE123286_ab215998	GSE123286_BRG1
GSE123286	ERa	Abcam ab3575 and Millipore 06-935 antibody mix	-	ZR-75-1	ER+  Breast Cancer Cell Line	GSE123286_Abcam_ab3575_and_Millipore_06-935_antibody_mix	GSE123286_ERa
GSE123286	HDAC1	Diagenode Premium C15410325	-	ZR-75-1	ER+  Breast Cancer Cell Line	GSE123286_Diagenode_Premium_C15410325	GSE123286_HDAC1
GSE123292	SATB1	Satb1 antibody	-	Vl3-2m	lymphocyte	GSE123292_Satb1_antibody	GSE123292_SATB1
GSE123347	PU.1	PU.1	-	-	dendritic cells (DC)	GSE123347_PU_1	GSE123347_PU.1
GSE123398	STAT3	pSTAT3	-	ABC DLBCL cell line (TMD8)	Naive B cell	GSE123398_pSTAT3	GSE123398_pSTAT3
GSE123398	STAT3	STAT3	-	ABC DLBCL cell line (TMD8)	Naive B cell	GSE123398_STAT3	GSE123398_STAT3
GSE123565	FOXA1	FOXA1	-	22Rv1 cells	-	GSE123565_FOXA1	GSE123565_FOXA1
GSE123565	OCT1	OCT1	-	22Rv1 cells	-	GSE123565_OCT1	GSE123565_OCT1
GSE123618	AR	AR	-	22RV1	-	GSE123618_AR	GSE123618_AR
GSE123618	FOXA1	FOXA1	-	22RV1	-	GSE123618_FOXA1	GSE123618_FOXA1
GSE123618	TLE3	TLE3	-	22RV1	-	GSE123618_TLE3	GSE123618_TLE3
GSE123711	CTCF	CTCF antibody	-	R304W	-	GSE123711_CTCF_antibody	GSE123711_CTCF
GSE123872	CEBPa	C/EBPa	-	THP-1	untreated monocytes	GSE123872_CEBPa	GSE123872_CEBPa
GSE123872	IRF8	IRF8	-	THP-1	untreated monocytes	GSE123872_IRF8	GSE123872_IRF8
GSE123872	PU.1	PU.1	-	THP-1	untreated monocytes	GSE123872_PU_1	GSE123872_PU.1
GSE124011	SRF	anti-SRF	Cultured HCASMC	-	-	GSE124011_anti-SRF	GSE124011_SRF
GSE124011	TCF21	TCF21	Cultured HCASMC	-	-	GSE124011_TCF21	GSE124011_TCF21
GSE124032	CEBPA	anti-CEBPA	-	THP-1	-	GSE124032_anti-CEBPA	GSE124032_CEBPa
GSE124080	CBP	CBP	Term placenta	-	Cytotrophoblast	GSE124080_CBP	GSE124080_CBP
GSE124080	HDAC1	HDAC1	Term placenta	-	Cytotrophoblast	GSE124080_HDAC1	GSE124080_HDAC1
GSE124080	Rel-B	RelB	Term placenta	-	Cytotrophoblast	GSE124080_RelB	GSE124080_Rel-B
GSE124082	SOD1	anti-human SOD1 primary antibody	-	HeLa cervical adenocarcinoma cell line	-	GSE124082_anti-human_SOD1_primary_antibody	GSE124082_SOD1
GSE124128	Cas9	Cas9	-	NCCIT	Human embryonal carcinoma	GSE124128_Cas9	GSE124128_Cas9
GSE124225	BAF155	BAF155	-	MCF-7	-	GSE124225_BAF155	GSE124225_BAF155
GSE124225	BRG	BRG	-	MCF-7	-	GSE124225_BRG	GSE124225_BRG
GSE124225	ER	ER	-	MCF-7	-	GSE124225_ER	GSE124225_ER
GSE124228	BAF155	BAF155-2	-	Breast Cancer Cells	-	GSE124228_BAF155-2	GSE124228_BAF155-2
GSE124228	BAF155	BAF155	-	Breast Cancer Cells	-	GSE124228_BAF155	GSE124228_BAF155
GSE124228	BRG1-2	BRG1-2	-	Breast Cancer Cells	-	GSE124228_BRG1-2	GSE124228_BRG1-2
GSE124228	BRG	BRG	-	Breast Cancer Cells	-	GSE124228_BRG	GSE124228_BRG
GSE124228	ER	ER	-	Breast Cancer Cells	-	GSE124228_ER	GSE124228_ER
GSE124228	FOXA1	FOXA1	-	Breast Cancer Cells	-	GSE124228_FOXA1	GSE124228_FOXA1
GSE124228	GRHL1	GRHL1	-	Breast Cancer Cells	-	GSE124228_GRHL1	GSE124228_GRHL1
GSE124344	SIPA1	SIPA1	-	MDA-MB-231 cell line	-	GSE124344_SIPA1	GSE124344_SIPA1
GSE124406	BACH1	Bach1	-	Pancreatic ductal adenocarcinoma cell line SW1990	-	GSE124406_Bach1	GSE124406_BACH1
GSE124576	VDR	VDR	Primary prostate epithelial cells	-	-	GSE124576_VDR	GSE124576_VDR
GSE124636	IRF2BP2	Anti-IRF2BP2 antibody	-	HEK293-GR	-	GSE124636_Anti-IRF2BP2_antibody	GSE124636_IRF2BP2
GSE124642	p300	p300	-	LNCaP-FGC	Androgen dependent prostate cancer cell line	GSE124642_p300	GSE124642_p300
GSE124654	FOXA1	FOXA1	breast cancer	MCF7L-TamR	-	GSE124654_FOXA1	GSE124654_FOXA1
GSE124667	CTCF	CTCF	-	MCF-7	-	GSE124667_CTCF	GSE124667_CTCF
GSE124667	ERa	ERa	-	MCF-7	-	GSE124667_ERa	GSE124667_ERa
GSE124667	FOXA1	FoxA1	-	MCF-7	-	GSE124667_FoxA1	GSE124667_FOXA1
GSE124674	PRMT3	PRMT3	-	-	mesenchymal stem cell	GSE124674_PRMT3	GSE124674_PRMT3
GSE124748	BRD4	BRD4, A301-985A50	-	HCC1806	-	GSE124748_BRD4_A301-985A50	GSE124748_BRD4
GSE124891	ERG	ERG	-	-	Pooled HUVEC	GSE124891_ERG	GSE124891_ERG
GSE124892	MED1	MED1	-	-	Pooled HUVEC	GSE124892_MED1	GSE124892_MED1
GSE124903	BRG1_SMARCA4	BRG1/SMARCA4	-	TTC1240	tumor cell line	GSE124903_BRG1SMARCA4	GSE124903_BRG1_SMARCA4
GSE124903	DPF2_BAF45D	DPF2/BAF45D	-	TTC1240	tumor cell line	GSE124903_DPF2BAF45D	GSE124903_DPF2_BAF45D
GSE124903	SMARCB1_BAF47	SMARCB1/BAF47	-	TTC1240	tumor cell line	GSE124903_SMARCB1BAF47	GSE124903_SMARCB1_BAF47
GSE124903	SMARCC1_BAF155	SMARCC1/BAF155	-	TTC1240	tumor cell line	GSE124903_SMARCC1BAF155	GSE124903_SMARCC1_BAF155
GSE124903	SUZ12	SUZ12	-	TTC1240	tumor cell line	GSE124903_SUZ12	GSE124903_SUZ12
GSE124963	MED1	MED1	-	MOLM-14	Human AML Cells	GSE124963_MED1	GSE124963_MED1
GSE124963	NR4A	NR4A	-	MOLM-14	Human AML Cells	GSE124963_NR4A	GSE124963_NR4A
GSE125033	SMARCA4	SMARCA4 ChIP grade	-	-	CD34+ HSPC-derived iPSC-differentiated NSC	GSE125033_SMARCA4_ChIP_grade	GSE125033_SMARCA4
GSE125166	PLZF	anti PLZF-SantaCruz	-	-	human Mesenchymal Stem Cells	GSE125166_anti_PLZF-SantaCruz	GSE125166_PLZF
GSE125166	RNF2	anti-RNF2	-	-	human Mesenchymal Stem Cells	GSE125166_anti-RNF2	GSE125166_RNF2
GSE125166	SUZ12	anti-SUZ12-Cell Signalling	-	-	human Mesenchymal Stem Cells	GSE125166_anti-SUZ12-Cell_Signalling	GSE125166_SUZ12
GSE125186	CDK9	CDK9	-	HK-2	-	GSE125186_CDK9	GSE125186_CDK9
GSE125236	GATA2	GATA2 antibody	-	VCaP	Human castrate-resistant prostate cancer cell line	GSE125236_GATA2_antibody	GSE125236_GATA2
GSE125552	AR	AR	human prostate cancer cell line	LNCaP-95	-	GSE125552_AR	GSE125552_AR
GSE125594	ERa	ERalpha	-	MCF7	Breast cancer cell line	GSE125594_ERalpha	GSE125594_ERa
GSE125594	MED1	MED1	-	MCF7	Breast cancer cell line	GSE125594_MED1	GSE125594_MED1
GSE125594	TEAD4	TEAD4	-	MCF7	Breast cancer cell line	GSE125594_TEAD4	GSE125594_TEAD4
GSE125594	YAP	YAP	-	MCF7	Breast cancer cell line	GSE125594_YAP	GSE125594_YAP
GSE125623	GR	GR-356	-	-	-	GSE125623_GR-356	GSE125623_GR
GSE125623	GR-IA1	GR-IA1	-	-	-	GSE125623_GR-IA1	GSE125623_GR-IA1
GSE125639	CTCF	CTCF	-	IMR90 lung fibroblasts	-	GSE125639_CTCF	GSE125639_CTCF
GSE125659	MECP2	anti- MeCP2	-	LUHMES	LUHMES-derived neurons	GSE125659_anti-_MeCP2	GSE125659_MeCP2
GSE125768	PDX1	Goat anit PDX1	-	-	-	GSE125768_Goat_anit_PDX1	GSE125768_PDX1
GSE125857	TFAP2C	TFAP2C; Santa Cruz Cat #sc-8977X	-	-	early epidemal differentiated human emryonic stem cell (hESC)	GSE125857_TFAP2C_Santa_Cruz_Cat_#sc-8977X	GSE125857_TFAP2C
GSE125863	MAX	MAX	-	-	-	GSE125863_MAX	GSE125863_MAX
GSE125863	Myc	MYC	-	-	-	GSE125863_MYC	GSE125863_Myc
GSE126083	CTCF	anti-CTCF	pre-B leukemic cell line	Inducible 697 expressing FH-NAP1	-	GSE126083_anti-CTCF	GSE126083_CTCF
GSE126142	CASZ1	CASZ1	-	-	Rhabdomyosarcoma	GSE126142_CASZ1	GSE126142_CASZ1
GSE126142	TY1	Ty1	-	-	Rhabdomyosarcoma	GSE126142_Ty1	GSE126142_Ty1
GSE126143	CASZ1	CASZ1	-	-	Rhabdomyosarcoma	GSE126143_CASZ1	GSE126143_CASZ1
GSE126151	HSP90B	HSP90B Abcam	-	K562	-	GSE126151_HSP90B_Abcam	GSE126151_HSP90B
GSE126300	EBF1	Rabbit polyclonal anti-Ebf1 [ABE1294, Millipore]	Human B-ALL cell line	NALM6	-	GSE126300_Rabbit_polyclonal_anti-Ebf1_ABE1294_Millipore	GSE126300_EBF1
GSE126300	PAX5	Rabbit polyclonal anti-Pax5 [ab183575, Abcam]	Human B-ALL cell line	NALM6	-	GSE126300_Rabbit_polyclonal_anti-Pax5_ab183575_Abcam	GSE126300_PAX5
GSE126300	RUNX1	Rabbit polyclonal anti-RUNX1 [ab23980, Abcam]	Human B-ALL cell line	NALM6	-	GSE126300_Rabbit_polyclonal_anti-RUNX1_ab23980_Abcam	GSE126300_RUNX1
GSE126380	ROR-gamma	anti-RORγ rabbit serum was generated by Covance, using purified GST-human RORγ fragment	-	HCC70	-	GSE126380_anti-RORγ_rabbit_serum_was_generated_by_Covance_using_purified_GST-human_RORγ_fragment	GSE126380_ROR-gamma
GSE126380	SREBF2	SREBP2	-	HCC70	-	GSE126380_SREBP2	GSE126380_SREBF2
GSE126390	KLF4	R&D Systems #AF3640	skin; foreskin normal	-	-	GSE126390_RD_Systems_#AF3640	GSE126390_KLF4
GSE126396	EZH2	EZH2	-	-	-	GSE126396_EZH2	GSE126396_EZH2
GSE126505	p50	p50	-	-	CD4pos_T	GSE126505_p50	GSE126505_p50
GSE126505	p65	p65	-	-	CD4pos_T	GSE126505_p65	GSE126505_p65
GSE126634	CTCF	CTCF	-	HAP1	-	GSE126634_CTCF	GSE126634_CTCF
GSE126634	SCC1	SCC1	-	HAP1	-	GSE126634_SCC1	GSE126634_SCC1
GSE126733	MondoA	MondoA	-	-	Primary human myocytes	GSE126733_MondoA	GSE126733_MondoA
GSE126755	CTCF	RRID: AB_441965; Catalog: 07-729; Lots: 2628833; 2575743; 2757161	-	-	-	GSE126755_RRID_AB_441965_Catalog_07-729_Lots_2628833_2575743_2757161	GSE126755_CTCF
GSE126755	RAD21	RRID: AB_2176601; Catalog: ab992; Lots: GR214359-1; GR235487-1	-	-	-	GSE126755_RRID_AB_2176601_Catalog_ab992_Lots_GR214359-1_GR235487-1	GSE126755_RAD21
GSE126755	SMC3	RRID: AB_307122; Catalog: ab9263; Lot: GR3221084-1	-	-	-	GSE126755_RRID_AB_307122_Catalog_ab9263_Lot_GR3221084-1	GSE126755_SMC3
GSE126758	CTCF	RRID: AB_441965; Catalog: 07-729; Lots: 2628833; 2575743; 2757161	-	-	-	GSE126758_RRID_AB_441965_Catalog_07-729_Lots_2628833_2575743_2757161	GSE126758_CTCF
GSE126758	RAD21	RRID: AB_2176601; Catalog: ab992; Lots: GR214359-1; GR235487-1	-	-	-	GSE126758_RRID_AB_2176601_Catalog_ab992_Lots_GR214359-1_GR235487-1	GSE126758_RAD21
GSE126758	SMC3	RRID: AB_307122; Catalog: ab9263; Lot: GR3221084-1	-	-	-	GSE126758_RRID_AB_307122_Catalog_ab9263_Lot_GR3221084-1	GSE126758_SMC3
GSE126852	AR	AR	-	-	prostate cancer-derived fibroblasts	GSE126852_AR	GSE126852_AR
GSE126953	ETO2	ETO2	-	U937	human AML cells	GSE126953_ETO2	GSE126953_ETO2
GSE126982	PTENalpha	PTENα/β	-	SMMC-7721	hepatocellular carcinoma cell line	GSE126982_PTENαβ	GSE126982_PTENalpha
GSE126982	WDR5	WDR5	-	SMMC-7721	hepatocellular carcinoma cell line	GSE126982_WDR5	GSE126982_WDR5
GSE126990	CTCF	CTCF	-	HeLa Kyoto	-	GSE126990_CTCF	GSE126990_CTCF
GSE126990	SMC3	SMC3	-	HeLa Kyoto	-	GSE126990_SMC3	GSE126990_SMC3
GSE127117	AEBP2	AEBP2	-	-	Embryonic stem cell and NT2 cell line	GSE127117_AEBP2	GSE127117_AEBP2
GSE127117	CBX7	CBX7	-	-	Embryonic stem cell and NT2 cell line	GSE127117_CBX7	GSE127117_CBX7
GSE127117	EPOP	EPOP	-	-	Embryonic stem cell and NT2 cell line	GSE127117_EPOP	GSE127117_EPOP
GSE127117	JARID2	JARID2	-	-	Embryonic stem cell and NT2 cell line	GSE127117_JARID2	GSE127117_JARID2
GSE127117	PCL2	PCL2	-	-	Embryonic stem cell and NT2 cell line	GSE127117_PCL2	GSE127117_PCL2
GSE127117	SUZ12	SUZ12	-	-	Embryonic stem cell and NT2 cell line	GSE127117_SUZ12	GSE127117_SUZ12
GSE127256	CPSF3	Rabbit polyclonal anti-CPSF73 Bethyl Cat# A301-091A	-	HeLa cells	-	GSE127256_Rabbit_polyclonal_anti-CPSF73_Bethyl_Cat#_A301-091A	GSE127256_CPSF3
GSE127256	PCF11	Rabbit polyclonal anti-PCF11	-	HeLa cells	-	GSE127256_Rabbit_polyclonal_anti-PCF11	GSE127256_PCF11
GSE127336	ZNF513	eGFP-ZNF513	-	-	-	GSE127336_eGFP-ZNF513	GSE127336_ZNF513
GSE127337	KLF10	eGFP-KLF10	-	-	-	GSE127337_eGFP-KLF10	GSE127337_KLF10
GSE127342	CTCF	CTCF	-	-	-	GSE127342_CTCF	GSE127342_CTCF
GSE127346	NEUROD1	NEUROD1	-	-	-	GSE127346_NEUROD1	GSE127346_NEUROD1
GSE127348	SMARCC2	SMARCC2	-	-	-	GSE127348_SMARCC2	GSE127348_SMARCC2
GSE127350	ZNF614	3xFLAG-ZNF614	-	-	-	GSE127350_3xFLAG-ZNF614	GSE127350_ZNF614
GSE127353	MAFK	MAFK	-	-	-	GSE127353_MAFK	GSE127353_MAFK
GSE127354	ZNF184	eGFP-ZNF184	-	-	-	GSE127354_eGFP-ZNF184	GSE127354_ZNF184
GSE127355	ZBTB33	ZBTB33	-	-	-	GSE127355_ZBTB33	GSE127355_ZBTB33
GSE127356	HDAC3	HDAC3	-	-	-	GSE127356_HDAC3	GSE127356_HDAC3
GSE127357	ZBTB12	eGFP-ZBTB12	-	-	-	GSE127357_eGFP-ZBTB12	GSE127357_ZBTB12
GSE127358	ATF3	ATF3	-	-	-	GSE127358_ATF3	GSE127358_ATF3
GSE127359	CTCF	CTCF	-	-	-	GSE127359_CTCF	GSE127359_CTCF
GSE127360	MCM2	MCM2	-	-	-	GSE127360_MCM2	GSE127360_MCM2
GSE127361	DACH1	DACH1	-	-	-	GSE127361_DACH1	GSE127361_DACH1
GSE127363	ZNF512B	ZNF512B	-	-	-	GSE127363_ZNF512B	GSE127363_ZNF512B
GSE127364	ZNF830	ZNF830	-	-	-	GSE127364_ZNF830	GSE127364_ZNF830
GSE127365	SMAD1	SMAD1	-	-	-	GSE127365_SMAD1	GSE127365_SMAD1
GSE127366	MAFK	MAFK	-	-	-	GSE127366_MAFK	GSE127366_MAFK
GSE127367	ZNF444	ZNF444	-	-	-	GSE127367_ZNF444	GSE127367_ZNF444
GSE127368	TFDP1	3xFLAG-TFDP1	-	-	-	GSE127368_3xFLAG-TFDP1	GSE127368_TFDP1
GSE127369	SRF	SRF	-	-	-	GSE127369_SRF	GSE127369_SRF
GSE127371	ARHGAP35	ARHGAP35	-	-	-	GSE127371_ARHGAP35	GSE127371_ARHGAP35
GSE127372	NFATc3	NFATC3	-	-	-	GSE127372_NFATC3	GSE127372_NFATc3
GSE127374	NUFIP1	NUFIP1	-	-	-	GSE127374_NUFIP1	GSE127374_NUFIP1
GSE127376	NANOG	NANOG	-	-	-	GSE127376_NANOG	GSE127376_Nanog
GSE127378	CTCF	CTCF	-	-	-	GSE127378_CTCF	GSE127378_CTCF
GSE127379	ZNF626	eGFP-ZNF626	-	-	-	GSE127379_eGFP-ZNF626	GSE127379_ZNF626
GSE127380	CHD2	CHD2	-	-	-	GSE127380_CHD2	GSE127380_CHD2
GSE127381	MCM7	MCM7	-	-	-	GSE127381_MCM7	GSE127381_MCM7
GSE127382	ARNT	ARNT	-	-	-	GSE127382_ARNT	GSE127382_ARNT
GSE127383	ZNF768	eGFP-ZNF768	-	-	-	GSE127383_eGFP-ZNF768	GSE127383_ZNF768
GSE127384	STAT1	STAT1	-	-	-	GSE127384_STAT1	GSE127384_STAT1
GSE127385	PHF20	PHF20	-	-	-	GSE127385_PHF20	GSE127385_PHF20
GSE127386	ZNF510	eGFP-ZNF510	-	-	-	GSE127386_eGFP-ZNF510	GSE127386_ZNF510
GSE127387	ZNF622	ZNF622	-	-	-	GSE127387_ZNF622	GSE127387_ZNF622
GSE127388	RBPJ	3xFLAG-RBPJ	-	-	-	GSE127388_3xFLAG-RBPJ	GSE127388_RBPJ
GSE127389	ZBTB44	eGFP-ZBTB44	-	-	-	GSE127389_eGFP-ZBTB44	GSE127389_ZBTB44
GSE127390	ETS2	eGFP-ETS2	-	-	-	GSE127390_eGFP-ETS2	GSE127390_ETS2
GSE127391	SP1	SP1	-	-	-	GSE127391_SP1	GSE127391_SP1
GSE127393	IRF2	3xFLAG-IRF2	-	-	-	GSE127393_3xFLAG-IRF2	GSE127393_IRF2
GSE127396	ETV5	3xFLAG-ETV5	-	-	-	GSE127396_3xFLAG-ETV5	GSE127396_ETV5
GSE127397	POLR2A	POLR2A	-	-	-	GSE127397_POLR2A	GSE127397_POLR2A
GSE127398	ZBTB6	eGFP-ZBTB6	-	-	-	GSE127398_eGFP-ZBTB6	GSE127398_ZBTB6
GSE127399	RXRA	RXRA	-	-	-	GSE127399_RXRA	GSE127399_RXRa
GSE127402	TAF9B	TAF9B	-	-	-	GSE127402_TAF9B	GSE127402_TAF9B
GSE127403	MCM5	MCM5	-	-	-	GSE127403_MCM5	GSE127403_MCM5
GSE127404	TBL1XR1	TBL1XR1	-	-	-	GSE127404_TBL1XR1	GSE127404_TBL1XR1
GSE127406	POLR2AphosphoS5	POLR2AphosphoS5	-	-	-	GSE127406_POLR2AphosphoS5	GSE127406_POLR2AphosphoS5
GSE127408	CREB1	CREB1	-	-	-	GSE127408_CREB1	GSE127408_CREB1
GSE127409	ZSCAN29	ZSCAN29	-	-	-	GSE127409_ZSCAN29	GSE127409_ZSCAN29
GSE127410	ASH1L	ASH1L	-	-	-	GSE127410_ASH1L	GSE127410_ASH1L
GSE127411	RAD21	RAD21	-	-	-	GSE127411_RAD21	GSE127411_RAD21
GSE127412	POLR2AphosphoS5	POLR2AphosphoS5	-	-	-	GSE127412_POLR2AphosphoS5	GSE127412_POLR2AphosphoS5
GSE127413	ZBED5	3xFLAG-ZBED5	-	-	-	GSE127413_3xFLAG-ZBED5	GSE127413_ZBED5
GSE127414	NCOA4	NCOA4	-	-	-	GSE127414_NCOA4	GSE127414_NCOA4
GSE127415	NCOA1	NCOA1	-	-	-	GSE127415_NCOA1	GSE127415_NCOA1
GSE127416	PRDM10	PRDM10	-	-	-	GSE127416_PRDM10	GSE127416_PRDM10
GSE127417	KDM4B	KDM4B	-	-	-	GSE127417_KDM4B	GSE127417_KDM4B
GSE127418	ZNF561	eGFP-ZNF561	-	-	-	GSE127418_eGFP-ZNF561	GSE127418_ZNF561
GSE127419	TRIM25	TRIM25	-	-	-	GSE127419_TRIM25	GSE127419_TRIM25
GSE127420	MCM2	MCM2	-	-	-	GSE127420_MCM2	GSE127420_MCM2
GSE127421	ZNF639	3xFLAG-ZNF639	-	-	-	GSE127421_3xFLAG-ZNF639	GSE127421_ZNF639
GSE127422	CTCF	CTCF	-	-	-	GSE127422_CTCF	GSE127422_CTCF
GSE127423	GABPB1	GABPB1	-	-	-	GSE127423_GABPB1	GSE127423_GABPB1
GSE127424	ARNT	ARNT	-	-	-	GSE127424_ARNT	GSE127424_ARNT
GSE127425	EWSR1	EWSR1	-	-	-	GSE127425_EWSR1	GSE127425_EWSR1
GSE127427	EP300	EP300	-	-	-	GSE127427_EP300	GSE127427_EP300
GSE127430	ETS1	ETS1	-	-	-	GSE127430_ETS1	GSE127430_ETS1
GSE127432	ATF4	ATF4	-	-	-	GSE127432_ATF4	GSE127432_ATF4
GSE127433	CTCF	CTCF	-	-	-	GSE127433_CTCF	GSE127433_CTCF
GSE127436	POLR2A	POLR2A	-	-	-	GSE127436_POLR2A	GSE127436_POLR2A
GSE127438	CLOCK	CLOCK	-	-	-	GSE127438_CLOCK	GSE127438_CLOCK
GSE127440	TRIP13	TRIP13	-	-	-	GSE127440_TRIP13	GSE127440_TRIP13
GSE127441	NCOA1	NCOA1	-	-	-	GSE127441_NCOA1	GSE127441_NCOA1
GSE127442	ZNF146	3xFLAG-ZNF146	-	-	-	GSE127442_3xFLAG-ZNF146	GSE127442_ZNF146
GSE127443	ZNF205	3xFLAG-ZNF205	-	-	-	GSE127443_3xFLAG-ZNF205	GSE127443_ZNF205
GSE127445	ERF	3xFLAG-ERF	-	-	-	GSE127445_3xFLAG-ERF	GSE127445_ERF
GSE127447	RLF	RLF	-	-	-	GSE127447_RLF	GSE127447_RLF
GSE127450	ZNF189	eGFP-ZNF189	-	-	-	GSE127450_eGFP-ZNF189	GSE127450_ZNF189
GSE127452	E2F1	E2F1	-	-	-	GSE127452_E2F1	GSE127452_E2F1
GSE127458	PHB2	PHB2	-	-	-	GSE127458_PHB2	GSE127458_PHB2
GSE127460	E4F1	E4F1	-	-	-	GSE127460_E4F1	GSE127460_E4F1
GSE127461	HMGXB4	3xFLAG-HMGXB4	-	-	-	GSE127461_3xFLAG-HMGXB4	GSE127461_HMGXB4
GSE127464	EGR1	EGR1	-	-	-	GSE127464_EGR1	GSE127464_EGR1
GSE127466	POLR2A	POLR2A	-	-	-	GSE127466_POLR2A	GSE127466_POLR2A
GSE127473	EHMT2	EHMT2	-	-	-	GSE127473_EHMT2	GSE127473_EHMT2
GSE127474	ZNF449	eGFP-ZNF449	-	-	-	GSE127474_eGFP-ZNF449	GSE127474_ZNF449
GSE127477	CTCF	CTCF	-	-	-	GSE127477_CTCF	GSE127477_CTCF
GSE127480	ZNF282	ZNF282	-	-	-	GSE127480_ZNF282	GSE127480_ZNF282
GSE127481	MEF2B	MEF2B	-	-	-	GSE127481_MEF2B	GSE127481_MEF2B
GSE127484	ZNF282	ZNF282	-	-	-	GSE127484_ZNF282	GSE127484_ZNF282
GSE127486	BRD9	BRD9	-	-	-	GSE127486_BRD9	GSE127486_BRD9
GSE127489	ZFP36	ZFP36	-	-	-	GSE127489_ZFP36	GSE127489_ZFP36
GSE127490	SKI	SKI	-	-	-	GSE127490_SKI	GSE127490_SKI
GSE127493	GTF2F1	GTF2F1	-	-	-	GSE127493_GTF2F1	GSE127493_GTF2F1
